task_id,asset_id,asset_type,department,corridor_id,section_id,maintenance_type,defect_description,last_maintenance_date,maintenance_interval_days,next_due_date,overdue_days,condition_score,asset_age_years,failure_count_12m,safety_criticality,operational_criticality,estimated_duration_minutes,duration_buffer_minutes,required_team,required_block_type,required_resources,status
T0050,ENG_072,Bridge,Engineering,CORR_01,SEC_G_H,Preventive,Safety-related defect,2025-06-30,30,2025-07-30,410,4.35,29.0,0,10,8,90,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0051,TRD_060,Contact Wire,TRD,CORR_01,SEC_B_C,Inspection,Operational reliability issue,2026-06-05,60,2026-08-04,40,3.32,4.3,0,3,7,180,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Deferred
T0052,TRD_013,Contact Wire,TRD,CORR_01,SEC_G_H,Inspection,Inspection overdue,2023-12-21,365,2024-12-20,632,2.73,30.1,2,6,10,180,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0053,ENG_028,Points,Engineering,CORR_01,SEC_B_C,Corrective,Routine preventive maintenance,2026-07-10,60,2026-09-08,5,2.85,29.2,2,6,5,75,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0054,S&T_070,Point Machine,S&T,CORR_01,SEC_C_D,Preventive,Component replacement required,2024-11-25,30,2026-11-06,0,8.57,1.5,1,3,8,75,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_02,Pending
T0055,S&T_065,Signal,S&T,CORR_01,SEC_H_I,Preventive,Safety-related defect,2024-01-08,120,2024-05-07,859,6.15,15.5,3,3,3,180,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Deferred
T0056,TRD_017,Contact Wire,TRD,CORR_01,SEC_B_C,Preventive,Inspection overdue,2024-01-21,365,2025-01-20,601,7.49,28.0,3,7,10,150,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0057,S&T_052,Relay,S&T,CORR_01,SEC_H_I,Preventive,Safety-related defect,2023-11-22,30,2023-12-22,996,1.44,4.1,6,9,8,420,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0058,TRD_046,OHE,TRD,CORR_01,SEC_G_H,Inspection,Safety-related defect,2024-08-09,60,2024-10-08,705,8.58,20.6,0,7,7,120,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0059,ENG_055,Drainage,Engineering,CORR_01,SEC_D_E,Inspection,Operational reliability issue,2025-02-22,90,2025-05-23,478,6.8,10.3,4,3,7,30,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0060,ENG_012,Bridge,Engineering,CORR_01,SEC_A_B,Corrective,Component replacement required,2024-04-14,60,2024-06-13,822,5.68,31.0,1,8,7,120,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0061,TRD_078,Electrical Equipment,TRD,CORR_01,SEC_H_I,Preventive,Abnormal wear detected,2025-08-18,180,2026-10-10,0,3.3,2.5,3,4,7,180,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0062,S&T_001,Relay,S&T,CORR_01,SEC_B_C,Corrective,Operational reliability issue,2025-12-28,30,2026-01-27,229,5.16,15.8,1,8,4,150,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0063,S&T_003,Signal,S&T,CORR_01,SEC_G_H,Emergency,Safety-related defect,2025-08-29,180,2027-01-03,0,5.72,15.8,2,4,9,45,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0064,ENG_068,Track,Engineering,CORR_01,SEC_B_C,Corrective,Component replacement required,2024-04-09,365,2026-12-21,0,4.96,7.7,1,6,4,60,20,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0065,TRD_020,Mast,TRD,CORR_01,SEC_F_G,Preventive,Condition deterioration detected,2023-08-17,30,2023-09-16,1093,4.62,16.7,2,3,8,45,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0066,TRD_075,Electrical Equipment,TRD,CORR_01,SEC_H_I,Corrective,Repeated minor failure,2025-12-09,30,2026-01-08,248,5.65,33.6,4,6,8,180,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0067,ENG_057,Bridge,Engineering,CORR_01,SEC_H_I,Corrective,Repeated minor failure,2025-04-16,30,2025-05-16,485,5.11,27.8,2,9,9,120,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0068,S&T_045,Signal,S&T,CORR_01,SEC_C_D,Preventive,Safety-related defect,2026-05-14,30,2026-06-13,92,5.24,28.6,4,4,7,150,20,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0069,S&T_044,Point Machine,S&T,CORR_01,SEC_D_E,Inspection,Repeated minor failure,2024-02-24,180,2024-08-22,752,9.5,23.5,1,4,7,45,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0070,TRD_053,Electrical Equipment,TRD,CORR_01,SEC_A_B,Preventive,Operational reliability issue,2024-07-02,90,2024-09-30,713,6.77,31.7,3,6,6,90,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0071,TRD_026,Electrical Equipment,TRD,CORR_01,SEC_C_D,Inspection,Repeated minor failure,2024-02-11,90,2026-10-04,0,0.66,29.8,7,9,10,240,60,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Deferred
T0072,S&T_058,Signal,S&T,CORR_01,SEC_D_E,Inspection,Abnormal wear detected,2023-07-28,90,2023-10-26,1053,2.87,13.7,4,8,6,150,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0073,S&T_058,Point Machine,S&T,CORR_01,SEC_H_I,Corrective,Component replacement required,2023-09-06,60,2023-11-05,1043,4.29,11.2,1,9,4,90,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0074,TRD_019,OHE,TRD,CORR_01,SEC_D_E,Preventive,Routine preventive maintenance,2023-10-17,180,2024-04-14,882,1.22,34.1,7,8,10,240,60,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Deferred
T0075,TRD_033,Electrical Equipment,TRD,CORR_01,SEC_F_G,Corrective,Repeated minor failure,2024-05-24,365,2025-05-24,477,4.91,19.6,0,8,5,30,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0076,ENG_038,Points,Engineering,CORR_01,SEC_A_B,Preventive,Condition deterioration detected,2024-06-26,90,2024-09-24,719,4.71,26.6,2,9,10,90,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0077,S&T_057,Telecom,S&T,CORR_01,SEC_G_H,Inspection,Abnormal wear detected,2024-06-04,180,2024-12-01,651,5.97,3.7,3,8,7,45,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0078,S&T_022,Telecom,S&T,CORR_01,SEC_G_H,Corrective,Component replacement required,2025-09-09,90,2025-12-08,279,7.59,23.8,2,9,7,30,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0079,ENG_031,Bridge,Engineering,CORR_01,SEC_B_C,Inspection,Inspection overdue,2023-11-05,180,2026-10-30,0,9.15,16.1,0,5,10,120,20,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0080,ENG_064,Track,Engineering,CORR_01,SEC_C_D,Corrective,Safety-related defect,2024-03-04,30,2024-04-03,893,4.33,7.8,2,10,6,90,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0081,TRD_071,Mast,TRD,CORR_01,SEC_B_C,Corrective,Repeated minor failure,2024-09-27,120,2026-11-23,0,7.48,27.9,1,8,6,45,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0082,TRD_040,OHE,TRD,CORR_01,SEC_B_C,Preventive,Routine preventive maintenance,2026-04-25,90,2026-12-29,0,6.18,16.3,3,4,5,120,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0083,ENG_022,Bridge,Engineering,CORR_01,SEC_E_F,Preventive,Repeated minor failure,2026-07-03,90,2026-10-22,0,4.92,22.6,4,7,4,90,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0084,ENG_004,Drainage,Engineering,CORR_01,SEC_A_B,Preventive,Routine preventive maintenance,2025-02-08,120,2026-12-26,0,4.35,22.8,1,9,3,180,20,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0085,ENG_062,Points,Engineering,CORR_01,SEC_G_H,Corrective,Condition deterioration detected,2024-01-04,90,2026-09-29,0,4.69,18.5,2,8,9,60,20,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0086,ENG_079,Drainage,Engineering,CORR_01,SEC_G_H,Preventive,Operational reliability issue,2026-01-12,120,2026-05-12,124,8.19,34.9,4,8,6,60,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0087,TRD_028,Electrical Equipment,TRD,CORR_01,SEC_D_E,Corrective,Operational reliability issue,2024-01-07,120,2026-10-17,0,1.98,19.2,10,10,10,420,45,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0088,ENG_071,Bridge,Engineering,CORR_01,SEC_F_G,Preventive,Operational reliability issue,2025-04-25,180,2025-10-22,326,7.85,13.7,2,4,5,45,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0089,TRD_005,OHE,TRD,CORR_01,SEC_A_B,Preventive,Component replacement required,2025-02-02,180,2025-08-01,408,6.14,14.4,1,5,8,120,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0090,ENG_015,Drainage,Engineering,CORR_01,SEC_F_G,Emergency,Inspection overdue,2024-05-15,180,2024-11-11,671,6.9,20.8,4,10,7,75,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0091,ENG_003,Track,Engineering,CORR_01,SEC_D_E,Preventive,Safety-related defect,2026-02-04,180,2026-08-03,41,7.33,20.1,3,10,3,60,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Deferred
T0092,TRD_079,Mast,TRD,CORR_01,SEC_E_F,Corrective,Operational reliability issue,2025-05-15,180,2025-11-11,306,6.41,11.8,1,7,7,75,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0093,S&T_038,Relay,S&T,CORR_01,SEC_C_D,Preventive,Inspection overdue,2024-12-07,180,2025-06-05,465,4.92,29.2,3,7,10,75,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0094,ENG_030,Track,Engineering,CORR_01,SEC_D_E,Preventive,Inspection overdue,2024-07-13,90,2024-10-11,702,3.2,17.2,1,3,5,150,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0095,TRD_054,OHE,TRD,CORR_01,SEC_C_D,Inspection,Component replacement required,2026-08-07,180,2026-10-26,0,9.48,1.3,3,10,5,90,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,In Progress
T0096,ENG_025,Points,Engineering,CORR_01,SEC_E_F,Inspection,Repeated minor failure,2025-09-08,120,2026-01-06,250,7.04,7.0,1,3,8,90,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0097,ENG_032,Points,Engineering,CORR_01,SEC_F_G,Preventive,Abnormal wear detected,2023-10-06,365,2026-10-23,0,7.78,24.6,2,7,3,90,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0098,TRD_048,OHE,TRD,CORR_01,SEC_E_F,Corrective,Condition deterioration detected,2023-11-15,180,2024-05-13,853,5.85,26.9,3,8,9,180,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Deferred
T0099,ENG_022,Bridge,Engineering,CORR_01,SEC_C_D,Preventive,Abnormal wear detected,2026-04-17,120,2026-08-15,29,7.26,16.4,4,10,4,180,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0100,TRD_033,OHE,TRD,CORR_01,SEC_G_H,Inspection,Operational reliability issue,2026-01-22,30,2026-02-21,204,3.01,34.5,3,8,4,30,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0101,S&T_049,Telecom,S&T,CORR_01,SEC_H_I,Preventive,Operational reliability issue,2024-08-30,30,2024-09-29,714,8.62,19.0,1,8,4,60,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0102,TRD_032,Electrical Equipment,TRD,CORR_01,SEC_D_E,Corrective,Operational reliability issue,2023-12-24,180,2026-11-29,0,9.06,8.0,0,3,9,30,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0103,S&T_008,Point Machine,S&T,CORR_01,SEC_D_E,Preventive,Repeated minor failure,2026-05-03,60,2026-07-02,73,8.21,30.8,4,8,8,75,20,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0104,TRD_007,Electrical Equipment,TRD,CORR_01,SEC_H_I,Emergency,Repeated minor failure,2024-06-11,180,2024-12-08,644,5.17,11.2,4,8,9,150,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Deferred
T0105,S&T_054,Signal,S&T,CORR_01,SEC_G_H,Corrective,Inspection overdue,2024-06-25,30,2024-07-25,780,1.26,4.1,6,10,8,420,45,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0106,S&T_039,Point Machine,S&T,CORR_01,SEC_F_G,Emergency,Safety-related defect,2024-07-23,120,2024-11-20,662,1.07,24.7,9,8,10,420,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
